timestamp,power_w,power_limit_w,util_gpu,util_mem,clocks_gr,temp_c,perf_state
02:42:09,64.27, [N/A], 99, 17, 2497, 72, P4
02:42:11,64.33, [N/A], 94, 17, 2550, 74, P4
02:42:13,64.25, [N/A], 92, 17, 2565, 75, P4
02:42:15,64.39, [N/A], 91, 16, 2580, 77, P4
02:42:17,56.94, [N/A], 75, 13, 2325, 74, P4
02:42:19,62.70, [N/A], 92, 14, 2580, 79, P4
02:42:22,64.76, [N/A], 99, 15, 2430, 80, P4
02:42:24,64.24, [N/A], 95, 15, 2520, 80, P4
02:42:26,64.32, [N/A], 99, 17, 2535, 81, P4
02:42:28,64.16, [N/A], 99, 17, 2550, 82, P4
02:42:30,64.43, [N/A], 99, 16, 2565, 83, P4
02:42:32,64.12, [N/A], 99, 17, 2535, 83, P4
02:42:34,64.22, [N/A], 99, 17, 2535, 83, P4
02:42:36,64.13, [N/A], 90, 17, 2572, 84, P4
02:42:38,64.30, [N/A], 98, 18, 2482, 84, P4
02:42:40,64.45, [N/A], 96, 14, 2475, 85, P2
02:42:42,64.42, [N/A], 96, 17, 2505, 85, P4
02:42:44,64.54, [N/A], 97, 17, 2497, 86, P4
02:42:46,64.43, [N/A], 95, 16, 2490, 86, P4
02:42:48,64.52, [N/A], 96, 17, 2505, 86, P4
02:42:50,64.20, [N/A], 99, 17, 2520, 86, P4
02:42:52,64.43, [N/A], 97, 17, 2475, 87, P4
02:42:54,60.90, [N/A], 92, 17, 2467, 86, P4
02:42:56,61.86, [N/A], 98, 17, 2430, 87, P4
02:42:58,62.29, [N/A], 96, 17, 2437, 87, P4
02:43:00,61.95, [N/A], 96, 17, 2445, 87, P4
02:43:02,58.82, [N/A], 99, 17, 2415, 86, P4
02:43:04,58.27, [N/A], 97, 17, 2370, 87, P4
02:43:06,58.07, [N/A], 97, 17, 2392, 87, P4
02:43:08,58.12, [N/A], 97, 17, 2362, 87, P4
02:43:10,58.32, [N/A], 97, 17, 2370, 87, P4
02:43:12,55.57, [N/A], 99, 16, 2242, 86, P4
02:43:14,54.97, [N/A], 99, 17, 2347, 86, P4
02:43:16,54.95, [N/A], 93, 17, 2347, 86, P4
02:43:18,55.45, [N/A], 99, 17, 2332, 86, P4
02:43:20,54.93, [N/A], 99, 17, 2340, 87, P4
02:43:22,54.90, [N/A], 93, 17, 2347, 87, P4
02:43:24,55.35, [N/A], 99, 16, 2332, 87, P4
02:43:26,55.02, [N/A], 99, 17, 2340, 87, P4
02:43:28,53.69, [N/A], 99, 16, 2325, 87, P4
02:43:31,52.90, [N/A], 99, 17, 2287, 87, P4
02:43:33,53.00, [N/A], 99, 17, 2302, 86, P4
02:43:35,52.93, [N/A], 99, 16, 2317, 86, P4
02:43:37,52.75, [N/A], 99, 16, 2332, 86, P4
02:43:39,52.55, [N/A], 98, 16, 2347, 87, P4
02:43:41,52.24, [N/A], 94, 15, 2355, 86, P4
02:43:43,52.88, [N/A], 99, 16, 2325, 87, P4
02:43:45,53.75, [N/A], 99, 15, 2355, 87, P4
02:43:47,52.91, [N/A], 93, 15, 2385, 87, P4
