timestamp,power_w,power_limit_w,temp_c,clocks_mhz,utilization_pct
07:02:08,63.19, [N/A], 56, 412, 65
07:02:09,57.46, [N/A], 64, 412, 82
07:02:10,56.89, [N/A], 65, 412, 78
07:02:11,55.47, [N/A], 65, 412, 76
07:02:12,58.03, [N/A], 66, 412, 83
07:02:13,58.05, [N/A], 67, 412, 77
07:02:14,57.77, [N/A], 68, 412, 76
07:02:15,57.87, [N/A], 69, 412, 76
07:02:16,58.88, [N/A], 70, 412, 80
07:02:17,63.56, [N/A], 70, 412, 95
07:02:18,61.78, [N/A], 72, 412, 93
07:02:19,58.26, [N/A], 72, 412, 84
07:02:20,59.13, [N/A], 72, 412, 87
07:02:21,58.61, [N/A], 72, 412, 80
07:02:22,57.99, [N/A], 73, 412, 74
07:02:23,58.97, [N/A], 73, 412, 76
07:02:24,59.38, [N/A], 74, 2587, 76
07:02:25,60.35, [N/A], 74, 2572, 77
07:02:26,61.99, [N/A], 76, 2572, 85
07:02:27,62.94, [N/A], 76, 2572, 85
07:02:28,61.54, [N/A], 76, 2572, 75
07:02:29,59.64, [N/A], 76, 2572, 75
07:02:30,59.50, [N/A], 77, 2572, 75
07:02:31,59.67, [N/A], 77, 2572, 78
07:02:32,59.26, [N/A], 77, 2572, 75
07:02:33,58.95, [N/A], 78, 2572, 74
07:02:35,56.60, [N/A], 77, 2572, 73
07:02:36,56.58, [N/A], 77, 2572, 73
07:02:37,55.47, [N/A], 78, 2572, 70
07:02:38,55.41, [N/A], 77, 2572, 72
07:02:39,55.42, [N/A], 78, 2572, 72
07:02:40,55.63, [N/A], 78, 2572, 72
07:02:41,55.72, [N/A], 78, 2467, 72
07:02:42,55.72, [N/A], 78, 2415, 74
07:02:43,55.88, [N/A], 79, 2445, 72
07:02:44,55.97, [N/A], 79, 2460, 72
07:02:45,55.91, [N/A], 79, 2422, 74
07:02:46,55.92, [N/A], 80, 2452, 74
07:02:47,55.90, [N/A], 79, 2452, 71
07:02:48,56.00, [N/A], 80, 2452, 71
07:02:49,56.26, [N/A], 80, 2452, 73
07:02:50,55.64, [N/A], 80, 2452, 71
07:02:51,31.33, [N/A], 76, 2452, 51
07:02:52,56.53, [N/A], 80, 2452, 70
07:02:53,56.57, [N/A], 80, 2452, 71
07:02:54,56.51, [N/A], 81, 2452, 71
07:02:55,56.59, [N/A], 81, 2452, 73
07:02:56,56.62, [N/A], 81, 2452, 73
07:02:57,56.61, [N/A], 82, 2452, 71
07:02:58,56.70, [N/A], 81, 2467, 73
07:02:59,56.74, [N/A], 82, 2430, 72
07:03:00,57.28, [N/A], 83, 2497, 73
07:03:01,57.57, [N/A], 82, 2505, 74
07:03:02,57.56, [N/A], 83, 2475, 76
07:03:03,57.64, [N/A], 83, 2505, 74
07:03:04,57.73, [N/A], 83, 2475, 75
07:03:05,57.46, [N/A], 83, 2467, 73
07:03:06,58.30, [N/A], 84, 2535, 75
07:03:07,57.97, [N/A], 83, 2535, 73
07:03:08,58.51, [N/A], 84, 2535, 76
07:03:09,61.67, [N/A], 85, 2535, 77
07:03:10,60.71, [N/A], 84, 2535, 76
07:03:11,60.83, [N/A], 85, 2535, 76
07:03:12,60.85, [N/A], 85, 2535, 77
07:03:13,61.07, [N/A], 85, 2535, 78
07:03:14,60.45, [N/A], 85, 2557, 77
07:03:16,59.96, [N/A], 85, 2527, 77
07:03:17,58.20, [N/A], 84, 2482, 74
07:03:18,58.09, [N/A], 85, 2475, 73
07:03:19,58.51, [N/A], 85, 2445, 75
07:03:20,58.47, [N/A], 85, 2482, 74
07:03:21,58.46, [N/A], 85, 2490, 71
07:03:22,58.43, [N/A], 85, 2422, 74
07:03:23,58.59, [N/A], 85, 2490, 74
07:03:24,58.66, [N/A], 86, 2475, 72
07:03:25,58.63, [N/A], 85, 2497, 75
07:03:26,58.70, [N/A], 86, 2482, 75
07:03:27,58.92, [N/A], 86, 2482, 75
07:03:28,58.76, [N/A], 85, 2482, 74
07:03:29,59.06, [N/A], 86, 2482, 76
07:03:30,61.94, [N/A], 87, 2617, 87
07:03:31,61.64, [N/A], 87, 2587, 86
07:03:32,59.09, [N/A], 86, 2587, 86
07:03:33,59.99, [N/A], 86, 2595, 89
07:03:34,59.29, [N/A], 86, 2572, 86
07:03:35,57.60, [N/A], 87, 2580, 86
07:03:36,58.96, [N/A], 87, 2550, 87
07:03:37,59.13, [N/A], 87, 2580, 83
07:03:38,59.25, [N/A], 87, 2595, 82
07:03:39,59.02, [N/A], 87, 2565, 81
07:03:40,58.69, [N/A], 86, 2557, 80
07:03:41,56.13, [N/A], 85, 2550, 85
07:03:42,57.46, [N/A], 87, 2557, 80
07:03:43,55.97, [N/A], 86, 2550, 80
07:03:44,57.78, [N/A], 87, 2557, 81
07:03:45,57.45, [N/A], 87, 2527, 81
07:03:46,54.42, [N/A], 86, 2527, 81
07:03:47,56.51, [N/A], 87, 2542, 82
07:03:48,56.95, [N/A], 87, 2550, 81
07:03:49,54.62, [N/A], 86, 2505, 79
07:03:50,57.74, [N/A], 87, 2527, 81
07:03:52,55.18, [N/A], 86, 2460, 83
07:03:53,56.65, [N/A], 87, 2557, 81
